,sales_year,CLAIM_ID,Claim Name,Vendor,sales_dollars_value,sales_units_value,sales_lbs_value,total_post,searchVolume
0,2016,0,No Claim,A,6535862116.0,2810007373,6645849986,34011.0,1119883.0
1,2016,0,No Claim,B,2527739337.0,919624833,1973334623,34011.0,1119883.0
2,2016,0,No Claim,D,2078215386.0,607468747,1606254579,34011.0,1119883.0
3,2016,0,No Claim,E,490971628.0,51797913,875047294,34011.0,1119883.0
4,2016,0,No Claim,F,36712422.0,5594042,28304928,34011.0,1119883.0
5,2016,0,No Claim,G,499745876.0,48259494,1068474915,34011.0,1119883.0
6,2016,0,No Claim,H,348608467.0,64075821,183634380,34011.0,1119883.0
7,2016,0,No Claim,Others,1373026260.0,230964773,985508958,34011.0,1119883.0
8,2016,0,No Claim,Private Label,1967906579.0,512018533,3016738726,34011.0,1119883.0
9,2016,8,low carb,A,529168041.0,120236009,173243254,91243.0,2444696.0
10,2016,8,low carb,B,136933752.0,41983398,46267922,91243.0,2444696.0
11,2016,8,low carb,D,506042046.0,57563216,192362646,91243.0,2444696.0
12,2016,8,low carb,F,736803901.0,72683751,237745117,91243.0,2444696.0
13,2016,8,low carb,H,19877908.0,3274333,5800609,91243.0,2444696.0
14,2016,8,low carb,Others,2070168070.0,253350487,693806998,91243.0,2444696.0
15,2016,8,low carb,Private Label,264890595.0,39424903,141588579,91243.0,2444696.0
16,2016,15,beans,A,402395.0,22269,122478,1676.0,1119883.0
17,2016,15,beans,D,1866097.0,38218,646905,1676.0,1119883.0
18,2016,15,beans,Others,37869143.0,2315089,7778435,1676.0,1119883.0
19,2016,15,beans,Private Label,99868.0,9318,3500,1676.0,1119883.0
20,2016,16,cocoa,Others,4631618.0,1937441,725049,34011.0,1119883.0
21,2016,32,stroganoff,A,422906761.0,70651587,198177474,34011.0,1119883.0
22,2016,32,stroganoff,B,383618540.0,26183268,200736016,34011.0,1119883.0
23,2016,32,stroganoff,D,454606616.0,39131750,290148184,34011.0,1119883.0
24,2016,32,stroganoff,F,1214711325.0,104831987,459706372,34011.0,1119883.0
25,2016,32,stroganoff,H,158538939.0,9136705,59252041,34011.0,1119883.0
26,2016,32,stroganoff,Others,578572045.0,78975637,190757709,34011.0,1119883.0
27,2016,38,cumin,Others,4491.0,272,205,991.0,1119883.0
28,2016,39,high/source of protein,A,9478617.0,1296690,3780179,1221.0,20023.0
29,2016,39,high/source of protein,B,49293.0,25804,21287,1221.0,20023.0
30,2016,39,high/source of protein,Others,30527023.0,1063995,14927098,1221.0,20023.0
31,2016,40,no additives/preservatives,A,450840973.0,69135109,171439181,3642.0,522.0
32,2016,40,no additives/preservatives,B,676935160.0,49903096,424010102,3642.0,522.0
33,2016,40,no additives/preservatives,D,288190404.0,40006861,127305499,3642.0,522.0
34,2016,40,no additives/preservatives,F,1356558002.0,116393047,501248231,3642.0,522.0
35,2016,40,no additives/preservatives,H,34305835.0,2064227,13651684,3642.0,522.0
36,2016,40,no additives/preservatives,Others,934340068.0,97162694,290567898,3642.0,522.0
37,2016,40,no additives/preservatives,Private Label,14486402.0,6580503,9461671,3642.0,522.0
38,2016,58,buckwheat,A,44377735.0,7833023,6058511,34011.0,1119883.0
39,2016,58,buckwheat,B,34867276.0,20255270,15243840,34011.0,1119883.0
40,2016,58,buckwheat,D,52410688.0,6285917,14629250,34011.0,1119883.0
41,2016,58,buckwheat,F,6448310.0,3562755,846506,34011.0,1119883.0
42,2016,58,buckwheat,H,4424807.0,845163,438044,34011.0,1119883.0
43,2016,58,buckwheat,Others,205596722.0,30446804,52978916,34011.0,1119883.0
44,2016,58,buckwheat,Private Label,13691804.0,6801199,6687518,34011.0,1119883.0
45,2016,73,brown ale,A,730537.0,53242,157695,34011.0,1119883.0
46,2016,73,brown ale,B,4.0,4,2,34011.0,1119883.0
47,2016,73,brown ale,H,701839.0,357945,184648,34011.0,1119883.0
48,2016,73,brown ale,Others,17788077.0,3696077,6188321,34011.0,1119883.0
49,2016,73,brown ale,Private Label,1575051.0,117352,334453,34011.0,1119883.0
50,2016,75,french bisque,A,2231047.0,1492363,401243,48113.0,521448.0
51,2016,75,french bisque,B,8120357.0,5308753,3031746,48113.0,521448.0
52,2016,75,french bisque,D,19914878.0,5345628,2441319,48113.0,521448.0
53,2016,75,french bisque,F,342511.0,127201,99380,48113.0,521448.0
54,2016,75,french bisque,Others,27067452.0,5652963,7439925,48113.0,521448.0
